"","PATENT","GYEAR","CRECEIVE","CAT","CLAIMS","CMADE","GENERAL","ORIGINAL","FWDAPLAG","BCKGTLAG","CRECbinary","CAT01","CAT02","CAT03","CAT04","CAT05","CAT06","CRECordinal","CRECmdnSplt"
"271",5140740,1992,4,5,19,5,0,0,5.25,7.6,1,0,0,0,0,1,0,4,1
"272",5460204,1995,0,6,8,4,0,0.625,10.5,16,0,0,0,0,0,0,1,0,0
"273",5037064,1991,2,5,15,3,0.5,0.4444,3.5,7.6667,1,0,0,0,0,1,0,2,0
"274",5432780,1995,8,2,11,13,0.5938,0.3787,2.875,14.9231,1,0,1,0,0,0,0,8,1
"275",5132174,1992,3,4,3,2,0,0,9.3333,12,1,0,0,0,1,0,0,3,0
"276",5450930,1995,7,5,9,28,0.6531,0.7781,2.5714,10.1786,1,0,0,0,0,1,0,7,1
"277",5436582,1995,1,4,4,2,0,0.5,0,12.5,1,0,0,0,1,0,0,1,0
"278",5414209,1995,4,6,8,4,0,0,2.25,2.75,1,0,0,0,0,0,1,4,1
"279",5457100,1995,0,3,11,10,0,0.42,10.5,5.9,0,0,0,1,0,0,0,0,0
"280",5331798,1994,1,6,35,15,0,0,2,13,1,0,0,0,0,0,1,1,0
"281",5199453,1993,0,6,4,8,0,0.2778,10.5,24.875,0,0,0,0,0,0,1,0,0
"282",5304817,1994,2,4,7,1,0,0,4.5,1,1,0,0,0,1,0,0,2,0
"283",5136559,1992,2,2,7,6,0,0,4.5,3.6667,1,0,1,0,0,0,0,2,0
"284",5459023,1995,1,1,11,2,0,0,0,5.5,1,1,0,0,0,0,0,1,0
"285",4960552,1990,5,5,1,5,0.48,0.72,4.2,5.6,1,0,0,0,0,1,0,5,1
"286",5107652,1992,7,6,8,5,0.449,0.4444,5.4286,26.4,1,0,0,0,0,0,1,7,1
"287",5441894,1995,1,1,11,22,0,0.814,3,7.1818,1,1,0,0,0,0,0,1,0
"288",5014690,1991,4,3,17,8,0,0,3.75,16.125,1,0,0,1,0,0,0,4,1
"289",5433414,1995,3,6,2,15,0.4444,0.5139,3.3333,18.8,1,0,0,0,0,0,1,3,0
"290",5109020,1992,0,3,3,1,0,0,10.5,4,0,0,0,1,0,0,0,0,0
"291",5052792,1991,8,5,20,9,0,0,4,17,1,0,0,0,0,1,0,8,1
"292",5197978,1993,99,3,20,15,0.7175,0.5333,4.4141,4.1333,1,0,0,1,0,0,0,15,1
"293",4909889,1990,1,1,5,12,0,0,3,50.25,1,1,0,0,0,0,0,1,0
"294",4960868,1990,1,1,11,2,0,0.5,0,4,1,1,0,0,0,0,0,1,0
"295",4915963,1990,6,6,3,7,0.7778,0.7222,2.5,12.1429,1,0,0,0,0,0,1,6,1
"296",5186081,1993,5,5,7,11,0.64,0.6777,4.2,4.4545,1,0,0,0,0,1,0,5,1
"297",5009262,1991,17,6,39,7,0.3045,0.48,3.2353,24,1,0,0,0,0,0,1,15,1
"298",5183700,1993,7,6,8,7,0.4082,0.5,5,17.5714,1,0,0,0,0,0,1,7,1
"299",5257945,1993,3,4,7,5,0,0,3.6667,12.4,1,0,0,0,1,0,0,3,0
"300",5050494,1991,0,6,18,5,0,0,10.5,11,0,0,0,0,0,0,1,0,0
"301",5140605,1992,7,4,16,4,0.2449,0.375,3,2.25,1,0,0,0,1,0,0,7,1
"302",5241454,1993,14,4,13,18,0.8367,0.7422,3.0714,7.7778,1,0,0,0,1,0,0,14,1
"303",4901641,1990,13,6,17,2,0.142,0,5.1538,16,1,0,0,0,0,0,1,13,1
"304",5292155,1994,1,6,11,10,0,0.716,5,13.6,1,0,0,0,0,0,1,1,0
"305",4994455,1991,0,3,13,3,0,0,10.5,4.3333,0,0,0,1,0,0,0,0,0
"306",5405929,1995,0,1,16,1,0,0,10.5,3,0,1,0,0,0,0,0,0,0
"307",5129066,1992,5,2,15,2,0.32,0.5,5.2,10,1,0,1,0,0,0,0,5,1
"308",5011871,1991,1,1,8,3,0,0,4,4.6667,1,1,0,0,0,0,0,1,0
"309",5297511,1994,3,5,12,8,0.4444,0.449,3,11.875,1,0,0,0,0,1,0,3,0
"310",5005236,1991,4,6,9,6,0.375,0.4444,5.75,31.5,1,0,0,0,0,0,1,4,1
"311",4902007,1990,5,5,7,9,0,0.1975,6.8,6.8889,1,0,0,0,0,1,0,5,1
"312",5162327,1992,0,3,9,2,0,0,10.5,4.5,0,0,0,1,0,0,0,0,0
"313",4988987,1991,25,2,16,27,0.8768,0.749,5.12,9.4444,1,0,1,0,0,0,0,15,1
"314",5061961,1991,4,5,5,4,0.375,0,2.25,8.25,1,0,0,0,0,1,0,4,1
"315",5077382,1991,3,1,12,7,0.4444,0.7755,2.6667,15.1429,1,1,0,0,0,0,0,3,0
"316",5270514,1993,0,4,14,36,0,0.1574,10.5,9.4444,0,0,0,0,1,0,0,0,0
"317",4996814,1991,5,6,14,4,0,0.375,5.8,7.5,1,0,0,0,0,0,1,5,1
"318",5306024,1994,3,6,7,2,0,1,4,63,1,0,0,0,0,0,1,3,0
"319",5300293,1994,3,3,15,13,0.4444,0.6746,5,6.3077,1,0,0,1,0,0,0,3,0
"320",5079809,1992,1,5,1,7,0,0,4,25.7143,1,0,0,0,0,1,0,1,0
"321",5311384,1994,5,2,23,3,0.32,0,4.2,3.3333,1,0,1,0,0,0,0,5,1
"322",5414732,1995,5,2,8,1,0.32,0,1.8,8,1,0,1,0,0,0,0,5,1
"323",5398743,1995,0,5,31,10,0,0,10.5,33.9,0,0,0,0,0,1,0,0,0
"324",4999072,1991,4,1,6,10,0.75,0.56,6.25,26.7,1,1,0,0,0,0,0,4,1
"325",4952544,1990,11,1,56,24,0.7934,0.3611,5.1818,7.9167,1,1,0,0,0,0,0,11,1
"326",5012367,1991,12,2,4,1,0.2975,1,5,66,1,0,1,0,0,0,0,12,1
"327",5160370,1992,21,1,9,11,0.745,0.6777,4.25,5.4545,1,1,0,0,0,0,0,15,1
"328",5462019,1995,3,6,1,8,0,0.32,2.6667,39.875,1,0,0,0,0,0,1,3,0
"329",4903700,1990,10,3,14,5,0.32,0,7.4,4.8,1,0,0,1,0,0,0,10,1
"330",5475457,1995,3,5,8,11,0.4444,0.4628,2,9.4545,1,0,0,0,0,1,0,3,0
"331",5409113,1995,2,6,15,17,0,0.5882,3,6.5294,1,0,0,0,0,0,1,2,0
"332",5074405,1991,3,5,2,0,0,1,1.6667,85.1429,1,0,0,0,0,1,0,3,0
"333",5168962,1992,6,5,8,4,0,0,4.3333,3,1,0,0,0,0,1,0,6,1
"334",5000898,1991,1,5,14,9,0,0.716,3,8.8889,1,0,0,0,0,1,0,1,0
"335",4941370,1990,2,5,6,8,0,0.375,6.5,5.75,1,0,0,0,0,1,0,2,0
"336",4962716,1990,7,5,6,3,0.4082,0,4,5.6667,1,0,0,0,0,1,0,7,1
"337",4910267,1990,4,1,7,6,0.625,0,5.75,8.5,1,1,0,0,0,0,0,4,1
"338",4995092,1991,1,2,9,5,0,0.64,1,4.6,1,0,1,0,0,0,0,1,0
"339",5456793,1995,1,1,11,15,0,0.7222,2,32.4667,1,1,0,0,0,0,0,1,0
"340",4962730,1990,4,6,16,7,0,0,3,5.5714,1,0,0,0,0,0,1,4,1
"341",4903833,1990,9,6,10,7,0.4938,0.64,4.4444,18.8571,1,0,0,0,0,0,1,9,1
"342",5079344,1992,2,1,3,0,0.5,1,5,85.1429,1,1,0,0,0,0,0,2,0
"343",5023490,1991,6,4,8,4,0.7222,0.625,5.8333,10,1,0,0,0,1,0,0,6,1
"344",5296524,1994,0,1,4,9,0,0.6173,10.5,10.1111,0,1,0,0,0,0,0,0,0
"345",5218960,1993,1,3,6,12,0,0.375,5,10.4167,1,0,0,1,0,0,0,1,0
"346",5376148,1994,0,1,12,0,0,1,10.5,85.1429,0,1,0,0,0,0,0,0,0
"347",5138664,1992,14,4,8,4,0.5,0,4.2143,3,1,0,0,0,1,0,0,14,1
"348",5470737,1995,1,3,9,2,0,0,1,7.5,1,0,0,1,0,0,0,1,0
"349",5151947,1992,3,2,6,9,0.4444,0.5185,3,4.6667,1,0,1,0,0,0,0,3,0
"350",5256438,1993,1,6,11,12,0,0.1653,3,12.5833,1,0,0,0,0,0,1,1,0
"351",5390462,1995,2,6,20,6,0.5,0.5,7.5,8.1667,1,0,0,0,0,0,1,2,0
"352",5081905,1992,2,5,8,11,0.5,0.7654,6.5,14.7273,1,0,0,0,0,1,0,2,0
"353",5107605,1992,8,1,3,0,0.75,1,5,85.1429,1,1,0,0,0,0,0,8,1
"354",5389133,1995,19,1,20,8,0.1939,0.2188,2.5789,5.5,1,1,0,0,0,0,0,15,1
"355",5414247,1995,2,4,18,15,0,0.4978,4,12.6,1,0,0,0,1,0,0,2,0
"356",4946576,1990,21,1,7,11,0.3946,0.314,4.1905,7.6364,1,1,0,0,0,0,0,15,1
"357",5322924,1994,3,1,4,7,0.6667,0,6,7.4286,1,1,0,0,0,0,0,3,0
"358",5077983,1992,3,6,10,9,0.4444,0.1975,4.6667,5.2222,1,0,0,0,0,0,1,3,0
"359",5471074,1995,3,4,6,8,0.4444,0.4688,2.3333,12.375,1,0,0,0,1,0,0,3,0
"360",4959739,1990,3,2,6,6,0,0,1.6667,2.5,1,0,1,0,0,0,0,3,0
"361",5145343,1992,2,5,5,5,0.5,0.375,5.5,18,1,0,0,0,0,1,0,2,0
"362",4981452,1991,3,5,9,5,0,0,4.3333,15,1,0,0,0,0,1,0,3,0
"363",4948995,1990,17,4,3,4,0.3875,0,4.8235,5.75,1,0,0,0,1,0,0,15,1
"364",5148389,1992,12,2,8,6,0.4167,0.7222,5.9167,4.3333,1,0,1,0,0,0,0,12,1
"365",5190365,1993,3,4,8,2,0.6667,0,3.6667,3.5,1,0,0,0,1,0,0,3,0
"366",4890578,1990,3,6,11,7,0,0,5.6667,15.7143,1,0,0,0,0,0,1,3,0
"367",4954064,1990,2,5,7,9,0.5,0.5714,7,25.1111,1,0,0,0,0,1,0,2,0
"368",5034849,1991,0,4,14,4,0,0.5,10.5,28.5,0,0,0,0,1,0,0,0,0
"369",5466111,1995,1,5,15,10,0,0.42,1,10.1,1,0,0,0,0,1,0,1,0
"370",5033219,1991,16,5,21,9,0.2266,0.449,4.375,15.1111,1,0,0,0,0,1,0,15,1
"371",5256842,1993,0,4,5,3,0,0.6667,10.5,21,0,0,0,0,1,0,0,0,0
"372",5435504,1995,0,5,10,22,0,0.2037,10.5,20.4091,0,0,0,0,0,1,0,0,0
"373",5232165,1993,0,5,20,7,0,0.5,10.5,49,0,0,0,0,0,1,0,0,0
"374",5292998,1994,7,6,15,7,0,0,3,8.4286,1,0,0,0,0,0,1,7,1
"375",5254574,1993,0,3,6,2,0,0,10.5,4,0,0,0,1,0,0,0,0,0
"376",5416852,1995,0,2,8,7,0,0,10.5,3.7143,0,0,1,0,0,0,0,0,0
"377",5312707,1994,6,1,23,2,0.2778,0,2.6667,8,1,1,0,0,0,0,0,6,1
"378",5419737,1995,1,5,27,11,0,0,4,12.1818,1,0,0,0,0,1,0,1,0
"379",5030400,1991,16,5,14,12,0.2266,0.7778,5.9375,7.8333,1,0,0,0,0,1,0,15,1
"380",5181295,1993,2,1,15,1,0,0,6,4,1,1,0,0,0,0,0,2,0
"381",5351685,1994,13,3,30,3,0,0,4.6154,9.3333,1,0,0,1,0,0,0,13,1
"382",4945851,1990,1,5,29,11,0,0.7813,3,22.2727,1,0,0,0,0,1,0,1,0
"383",4973091,1990,10,6,23,5,0.54,0.4444,5.1,24.6,1,0,0,0,0,0,1,10,1
"384",4924625,1990,6,5,10,4,0,0,4.6667,8.5,1,0,0,0,0,1,0,6,1
"385",5091888,1992,16,2,9,2,0,0,3.875,4,1,0,1,0,0,0,0,15,1
"386",5273599,1993,3,1,2,3,0.4444,0,2.6667,19,1,1,0,0,0,0,0,3,0
"387",5288173,1994,2,6,6,4,0.5,0.375,3.5,4.75,1,0,0,0,0,0,1,2,0
"388",5040345,1991,6,6,5,3,0.2778,0.4444,3.5,12.6667,1,0,0,0,0,0,1,6,1
"389",4981156,1991,8,6,7,9,0.4063,0.5313,5.75,20.4444,1,0,0,0,0,0,1,8,1
"390",5205145,1993,2,5,6,2,0.5,0.5,2,16.5,1,0,0,0,0,1,0,2,0
"391",5160932,1992,1,2,8,10,0,0,7,15.3,1,0,1,0,0,0,0,1,0
"392",5006188,1991,11,1,6,2,0.5455,0.5,5.3636,12,1,1,0,0,0,0,0,11,1
"393",5048723,1991,9,1,10,12,0.5185,0.32,8.2222,40.8333,1,1,0,0,0,0,0,9,1
"394",4983360,1991,0,1,9,9,0,0.716,10.5,10.5556,0,1,0,0,0,0,0,0,0
"395",5097089,1992,1,1,23,5,0,0.32,2,12.4,1,1,0,0,0,0,0,1,0
"396",5106967,1992,4,1,12,18,0.5,0.7031,2.25,14.7778,1,1,0,0,0,0,0,4,1
"397",5047173,1991,2,1,1,1,0.5,0,2,3,1,1,0,0,0,0,0,2,0
"398",5189361,1993,2,4,9,10,0.5,0.68,3,12.9,1,0,0,0,1,0,0,2,0
"399",5035507,1991,2,4,10,4,0,0.375,4.5,2.75,1,0,0,0,1,0,0,2,0
"400",4896140,1990,3,2,6,2,0,0,3,16.5,1,0,1,0,0,0,0,3,0
"401",5151471,1992,5,1,7,4,0.56,0.625,4.8,8.25,1,1,0,0,0,0,0,5,1
"402",5407585,1995,3,1,18,6,0.6667,0.6111,3,14,1,1,0,0,0,0,0,3,0
"403",5060525,1991,2,4,21,6,0.5,0.375,7,20.5,1,0,0,0,1,0,0,2,0
"404",5031914,1991,5,6,2,5,0.48,0.64,3.8,11,1,0,0,0,0,0,1,5,1
"405",4937407,1990,8,4,11,8,0.2188,0.2188,4.125,13.5,1,0,0,0,1,0,0,8,1
"406",5372991,1994,2,4,4,0,0,1,2.5,85.1429,1,0,0,0,1,0,0,2,0
"407",5102978,1992,1,1,12,2,0,0.5,0,6.5,1,1,0,0,0,0,0,1,0
"408",5024535,1991,14,4,11,12,0.6837,0.8333,4.9286,8.3333,1,0,0,0,1,0,0,14,1
"409",5026952,1991,3,1,25,4,0.4444,0.625,5,16.25,1,1,0,0,0,0,0,3,0
"410",5107174,1992,1,4,9,10,0,0.32,5,7,1,0,0,0,1,0,0,1,0
"411",5074096,1991,3,6,15,12,0.4444,0.625,7,9.0833,1,0,0,0,0,0,1,3,0
"412",5363448,1994,22,2,46,10,0.6736,0.68,2.1364,4.4,1,0,1,0,0,0,0,15,1
"413",5468930,1995,2,4,6,7,0.5,0.6531,2.5,2.7143,1,0,0,0,1,0,0,2,0
"414",5422513,1995,7,4,8,11,0.6122,0.7769,2.5714,8.2727,1,0,0,0,1,0,0,7,1
"415",5349106,1994,1,1,15,5,0,0.75,3,15,1,1,0,0,0,0,0,1,0
"416",4932204,1990,7,4,14,12,0.2449,0.5417,4.2857,6.8333,1,0,0,0,1,0,0,7,1
"417",5409047,1995,2,5,13,11,0.5,0.4688,4,39.1818,1,0,0,0,0,1,0,2,0
"418",5115015,1992,5,1,22,4,0.72,0.625,4.6,8.75,1,1,0,0,0,0,0,5,1
"419",5444909,1995,5,5,2,5,0.56,0.56,2,7.8,1,0,0,0,0,1,0,5,1
"420",5221543,1993,2,6,21,20,0,0.18,5,11.8,1,0,0,0,0,0,1,2,0
"421",5216926,1993,11,4,6,22,0.6446,0.562,2.2727,11,1,0,0,0,1,0,0,11,1
"422",5155249,1992,1,1,14,9,0,0.6667,5,5.4444,1,1,0,0,0,0,0,1,0
"423",5122900,1992,2,5,11,4,0.5,0.625,2.5,9.5,1,0,0,0,0,1,0,2,0
"424",4980166,1990,0,3,20,2,0,0.5,10.5,8,0,0,0,1,0,0,0,0,0
"425",5350637,1994,3,6,18,15,0.6667,0.8367,3.3333,11.1333,1,0,0,0,0,0,1,3,0
"426",5111943,1992,3,6,31,12,0,0.7,1.6667,18.3333,1,0,0,0,0,0,1,3,0
"427",4906515,1990,4,6,5,3,0.625,0.6667,3.5,11.6667,1,0,0,0,0,0,1,4,1
"428",5263529,1993,8,6,15,14,0.75,0.6806,3.375,13.7143,1,0,0,0,0,0,1,8,1
"429",4974628,1990,4,6,23,12,0.375,0.1975,4.75,21.25,1,0,0,0,0,0,1,4,1
"430",4916627,1990,23,2,16,15,0.1626,0.32,5.9565,7.6,1,0,1,0,0,0,0,15,1
"431",5358056,1994,2,6,4,11,0,0.18,2,21,1,0,0,0,0,0,1,2,0
"432",5116721,1992,7,1,15,9,0.4082,0.1975,4.1429,2.4444,1,1,0,0,0,0,0,7,1
"433",5179788,1993,0,6,6,4,0,0,10.5,29.5,0,0,0,0,0,0,1,0,0
"434",5142571,1992,6,2,16,2,0.2778,0,3.8333,4.5,1,0,1,0,0,0,0,6,1
"435",5059366,1991,4,5,10,14,0.625,0.5917,1.5,8.5,1,0,0,0,0,1,0,4,1
"436",5265516,1993,5,6,15,7,0.48,0.6122,4.8,7.5714,1,0,0,0,0,0,1,5,1
"437",5016605,1991,4,6,4,5,0.625,0.375,4.75,14,1,0,0,0,0,0,1,4,1
"438",5302004,1994,0,6,16,11,0,0.56,10.5,12.4545,0,0,0,0,0,0,1,0,0
"439",5361549,1994,0,6,24,19,0,0.716,10.5,20.8947,0,0,0,0,0,0,1,0,0
"440",5267921,1993,2,5,6,3,0,0,5,4,1,0,0,0,0,1,0,2,0
"441",5399300,1995,2,1,3,9,0.5,0.4063,3,13.6667,1,1,0,0,0,0,0,2,0
"442",5155811,1992,5,2,16,5,0.56,0.56,4.2,6,1,0,1,0,0,0,0,5,1
"443",5273961,1993,5,3,10,2,0.32,0,3.2,1,1,0,0,1,0,0,0,5,1
"444",5076279,1991,15,3,8,5,0.24,0,5,4.6,1,0,0,1,0,0,0,15,1
"445",4977891,1990,14,3,18,12,0.3673,0.5313,5.9286,16.0833,1,0,0,1,0,0,0,14,1
"446",5081666,1992,5,2,3,1,0.72,0,3.2,4,1,0,1,0,0,0,0,5,1
"447",5360184,1994,1,5,25,3,0,0,4,17.6667,1,0,0,0,0,1,0,1,0
"448",5185012,1993,7,5,35,9,0.5714,0.1975,5.1429,14.6667,1,0,0,0,0,1,0,7,1
"449",5374284,1994,0,3,15,3,0,0,10.5,13,0,0,0,1,0,0,0,0,0
"450",5302023,1994,0,4,20,7,0,0.625,10.5,26,0,0,0,0,1,0,0,0,0
"451",5218107,1993,4,1,14,16,0.625,0.6875,2,11.5625,1,1,0,0,0,0,0,4,1
"452",4913627,1990,8,5,10,8,0.5313,0,2.75,2.625,1,0,0,0,0,1,0,8,1
"453",4956761,1990,15,4,2,12,0.1244,0.1528,6.5333,5.5,1,0,0,0,1,0,0,15,1
"454",5096468,1992,3,1,10,16,0.4444,0.8281,3.3333,13.125,1,1,0,0,0,0,0,3,0
"455",5025320,1991,1,4,12,6,0,0.32,3,14.1667,1,0,0,0,1,0,0,1,0
"456",4920409,1990,9,4,25,6,0.7654,0.5,5.8889,11,1,0,0,0,1,0,0,9,1
"457",5253476,1993,11,4,27,18,0.562,0.6852,2.6364,6.7222,1,0,0,0,1,0,0,11,1
"458",5296912,1994,0,4,19,3,0,0,10.5,6.3333,0,0,0,0,1,0,0,0,0
"459",5389080,1995,11,3,30,56,0.1653,0.3379,2.9091,7.7143,1,0,0,1,0,0,0,11,1
"460",5284395,1994,0,5,4,4,0,0,10.5,54.25,0,0,0,0,0,1,0,0,0
"461",5427022,1995,1,5,4,29,0,0.8195,4,22.3103,1,0,0,0,0,1,0,1,0
"462",5179332,1993,1,4,12,10,0,0.18,5,4.9,1,0,0,0,1,0,0,1,0
"463",5030500,1991,10,6,6,3,0.76,0,5.4,6.6667,1,0,0,0,0,0,1,10,1
"464",4985344,1991,8,1,20,12,0.4063,0,3.125,13.1667,1,1,0,0,0,0,0,8,1
"465",4906465,1990,6,3,12,6,0.6667,0.7778,4.1667,3.8333,1,0,0,1,0,0,0,6,1
"466",5349498,1994,7,4,7,7,0.4898,0.4082,3.8571,6.7143,1,0,0,0,1,0,0,7,1
"467",4920557,1990,9,2,9,6,0,0.4444,4.1111,3.8333,1,0,1,0,0,0,0,9,1
"468",4951488,1990,1,6,1,17,0,0.32,7,39.1765,1,0,0,0,0,0,1,1,0
"469",5107809,1992,2,5,10,5,0,0,5,4.6,1,0,0,0,0,1,0,2,0
"470",5015509,1991,1,1,13,12,0,0.82,1,19.5,1,1,0,0,0,0,0,1,0
"471",5306108,1994,1,5,13,4,0,0.375,3,4.5,1,0,0,0,0,1,0,1,0
"472",5260206,1993,1,3,2,7,0,0.449,1,5.4286,1,0,0,1,0,0,0,1,0
"473",4920855,1990,0,5,4,6,0,0.4444,10.5,27.5,0,0,0,0,0,1,0,0,0
"474",5212932,1993,2,6,12,7,0,0,1,18.5714,1,0,0,0,0,0,1,2,0
"475",5086846,1992,3,6,10,10,0.4444,0.4444,4.3333,27.5,1,0,0,0,0,0,1,3,0
"476",5240833,1993,3,3,2,1,0.6667,0,4.6667,4,1,0,0,1,0,0,0,3,0
"477",5183688,1993,4,1,5,3,0.375,0.6667,4.25,13,1,1,0,0,0,0,0,4,1
"478",5013600,1991,1,6,4,4,0,0.625,7,15,1,0,0,0,0,0,1,1,0
"479",5397054,1995,4,5,15,5,0.375,0.48,2.75,15.8,1,0,0,0,0,1,0,4,1
"480",4985023,1991,12,3,3,8,0.8056,0.75,4.8333,10.125,1,0,0,1,0,0,0,12,1
"481",5100677,1992,3,3,23,1,0,0,6.6667,16,1,0,0,1,0,0,0,3,0
"482",5172761,1992,3,6,4,5,0.4444,0,4.3333,24.8,1,0,0,0,0,0,1,3,0
"483",4925955,1990,1,1,1,4,0,0.375,3,4.25,1,1,0,0,0,0,0,1,0
"484",5435378,1995,2,6,11,17,0.5,0.75,3,27.4706,1,0,0,0,0,0,1,2,0
"485",4925550,1990,0,1,13,5,0,0.375,10.5,34,0,1,0,0,0,0,0,0,0
"486",5192287,1993,20,3,9,30,0.095,0,4.4,18.7,1,0,0,1,0,0,0,15,1
"487",5313352,1994,8,2,16,2,0.2188,0.5,4.125,6,1,0,1,0,0,0,0,8,1
"488",5463304,1995,3,4,14,9,0,0.5,1.6667,21.8889,1,0,0,0,1,0,0,3,0
"489",5280979,1994,6,5,12,10,0,0.68,4.1667,7.4,1,0,0,0,0,1,0,6,1
"490",5030878,1991,1,4,10,11,0,0.4063,8,25,1,0,0,0,1,0,0,1,0
"491",5006835,1991,3,2,6,9,0.4444,0.7654,3,5.2222,1,0,1,0,0,0,0,3,0
"492",5388200,1995,10,2,26,1,0.46,0,4,3,1,0,1,0,0,0,0,10,1
"493",5353011,1994,23,2,101,11,0.5558,0.6446,3.3043,6.3636,1,0,1,0,0,0,0,15,1
"494",5287489,1994,4,2,9,3,0.75,0.4444,4.5,8.3333,1,0,1,0,0,0,0,4,1
"495",5322549,1994,11,1,10,20,0.7107,0.78,3.0909,9.05,1,1,0,0,0,0,0,11,1
"496",5088341,1992,0,5,12,13,0,0.7769,10.5,18.0769,0,0,0,0,0,1,0,0,0
"497",5406101,1995,1,4,5,4,0,0.5,2,17,1,0,0,0,1,0,0,1,0
"498",5028958,1991,0,5,17,4,0,0,10.5,9,0,0,0,0,0,1,0,0,0
"499",5128681,1992,1,2,11,3,0,0.4444,2,5,1,0,1,0,0,0,0,1,0
"500",5232465,1993,0,6,9,2,0,0,10.5,13,0,0,0,0,0,0,1,0,0
"501",5232478,1993,4,1,7,20,0.375,0.2825,4.75,12.75,1,1,0,0,0,0,0,4,1
"502",5308372,1994,1,1,5,37,0,0.5799,5,24.1081,1,1,0,0,0,0,0,1,0
"503",5463034,1995,0,1,5,6,0,0.5,10.5,11.8333,0,1,0,0,0,0,0,0,0
"504",5093769,1992,9,4,11,21,0,0.1769,2.8889,13.0952,1,0,0,0,1,0,0,9,1
"505",5223171,1993,5,1,9,9,0.56,0.8395,4.8,13.4444,1,1,0,0,0,0,0,5,1
"506",5305938,1994,1,5,12,17,0,0.7378,5,20.5294,1,0,0,0,0,1,0,1,0
"507",5250708,1993,7,1,30,17,0.6122,0.5536,5,10.2353,1,1,0,0,0,0,0,7,1
"508",4971123,1990,0,5,12,8,0,0,10.5,44.125,0,0,0,0,0,1,0,0,0
"509",5324471,1994,2,5,10,37,0.5,0.5888,6,28.8649,1,0,0,0,0,1,0,2,0
"510",5271286,1993,1,5,6,14,0,0.8367,3,5.5,1,0,0,0,0,1,0,1,0
"511",4944056,1990,16,6,23,5,0.3281,0.75,6.1875,21.4,1,0,0,0,0,0,1,15,1
"512",5267618,1993,3,6,18,5,0.6667,0,4.6667,27.8,1,0,0,0,0,0,1,3,0
"513",5461462,1995,1,5,19,5,0,0.32,1,2.6,1,0,0,0,0,1,0,1,0
"514",5185164,1993,1,6,4,5,0,0.32,6,7.6,1,0,0,0,0,0,1,1,0
"515",5047652,1991,9,4,24,12,0.5185,0,5,14.75,1,0,0,0,1,0,0,9,1
"516",4950551,1990,0,6,3,0,0,1,10.5,85.1429,0,0,0,0,0,0,1,0,0
"517",5320587,1994,1,5,5,9,0,0.7813,3,19.8889,1,0,0,0,0,1,0,1,0
"518",5433908,1995,0,5,7,8,0,0.5313,10.5,7,0,0,0,0,0,1,0,0,0
"519",5224042,1993,1,2,2,11,0,0.1653,4,4.2727,1,0,1,0,0,0,0,1,0
"520",5112390,1992,4,5,22,8,0,0.2188,5.25,14.125,1,0,0,0,0,1,0,4,1
"521",5443050,1995,8,5,32,7,0.4063,0.2449,3.375,6.5714,1,0,0,0,0,1,0,8,1
"522",5381586,1995,1,5,27,3,0,0.6667,2,9,1,0,0,0,0,1,0,1,0
"523",5102772,1992,5,1,14,2,0.64,0.5,5.8,9,1,1,0,0,0,0,0,5,1
"524",5146546,1992,4,2,27,1,0.625,0,2.75,3,1,0,1,0,0,0,0,4,1
"525",5456999,1995,3,1,7,9,0.4444,0,3.6667,16.3333,1,1,0,0,0,0,0,3,0
"526",5338073,1994,3,6,6,10,0,0.1975,4,8,1,0,0,0,0,0,1,3,0
"527",5125863,1992,3,6,14,9,0.4444,0.375,4.3333,35.7778,1,0,0,0,0,0,1,3,0
"528",4981344,1991,4,5,18,4,0,0,4.25,7.75,1,0,0,0,0,1,0,4,1
"529",5355659,1994,5,6,4,8,0,0.5714,1.6,18.125,1,0,0,0,0,0,1,5,1
"530",5173724,1992,1,3,19,2,0,0,5,6,1,0,0,1,0,0,0,1,0
"531",5425270,1995,3,4,25,8,0.6667,0.6939,1.6667,9.875,1,0,0,0,1,0,0,3,0
"532",5368277,1994,1,5,3,16,0,0,3,31.4375,1,0,0,0,0,1,0,1,0
"533",5233333,1993,21,2,16,21,0.7075,0.7619,5.4286,12,1,0,1,0,0,0,0,15,1
"534",5286712,1994,1,4,12,3,0,0.4444,5,7,1,0,0,0,1,0,0,1,0
"535",5014827,1991,1,5,2,3,0,0.4444,6,6.6667,1,0,0,0,0,1,0,1,0
"536",5401978,1995,0,4,9,7,0,0.7347,10.5,4.8571,0,0,0,0,1,0,0,0,0
"537",5371769,1994,1,4,12,14,0,0,1,13.5,1,0,0,0,1,0,0,1,0
"538",4986873,1991,7,1,2,11,0.2449,0.5455,2.8571,7,1,1,0,0,0,0,0,7,1
"539",5340706,1994,1,1,15,5,0,0,3,2.6,1,1,0,0,0,0,0,1,0
"540",5273906,1993,0,1,12,7,0,0.56,10.5,21.1429,0,1,0,0,0,0,0,0,0
"541",5306446,1994,1,5,17,6,0,0.5,2,2.6667,1,0,0,0,0,1,0,1,0
"542",5331424,1994,4,2,7,2,0.375,0.5,3.25,3.5,1,0,1,0,0,0,0,4,1
"543",5241974,1993,5,6,3,11,0.48,0.562,3.6,13.4545,1,0,0,0,0,0,1,5,1
"544",5257477,1993,1,5,8,10,0,0.2778,3,25.7,1,0,0,0,0,1,0,1,0
